id,name,gameStartDateTime,venueId,entityId,old_prizepoolAddedValue,new_prizepoolAddedValue,old_prizepoolCalculated,new_prizepoolCalculated,guaranteeOverlayCost,prizepoolPlayerContributions
730e4d14-e686-4013-9ec7-0116083aae0c,"Hillside Hotel Monday $4k GTD",2026-01-19T07:30:00.000Z,ee247836-4dbd-48a5-b4be-a514fd86eb65,42101695-1332-48e3-963b-3c6ad4e909a0,4000,0,8000,0,4000,0
06c7cd9c-036a-4aee-8526-d7ccbc6a8810,"Wenty's Wednesday $10k GTD",2026-01-28T07:30:00.000Z,0b9c0861-c0ba-4a71-8ffc-8ad410c0c303,42101695-1332-48e3-963b-3c6ad4e909a0,2375,0,12375,7625,2375,7625
f2de7868-6335-4759-8c70-30be12accd90,"Bella Vista Hotel Tuesday $6k GTD",2026-02-03T07:30:00.000Z,6316925d-1163-4b25-8d26-5728a03d99b8,42101695-1332-48e3-963b-3c6ad4e909a0,6000,0,12000,0,6000,0
f357d298-04c1-4405-9e77-190345442486,"Wenty's Wednesday $10k GTD",2026-01-07T07:30:00.000Z,0b9c0861-c0ba-4a71-8ffc-8ad410c0c303,42101695-1332-48e3-963b-3c6ad4e909a0,1875,0,11875,8125,1875,8125
b4043c67-29e1-4089-83ad-f341d1f315a5,"Wenty's Wednesday $10k GTD",2026-01-14T07:30:00.000Z,0b9c0861-c0ba-4a71-8ffc-8ad410c0c303,42101695-1332-48e3-963b-3c6ad4e909a0,4250,0,14250,5750,4250,5750
