id,name,status,oldFinishedAt,newFinishedAt,oldDuration,newDuration,durationChange
c391b4a9-d27e-4300-9702-8ef47cf0ea7e,"Wednesday night CASH GAME St George Leagues",SYNCED,2026-01-28T20:15:52.038Z,2026-01-28T13:12:46.000Z,,19079,
807ef160-982c-4544-9bfe-0699f2a72384,"Churchill's SHOTCLOCK SUNDAY Poker @ Churchills Sports Bar 5 times a week!",SYNCED,2026-01-25T22:14:51.408Z,2026-01-25T13:40:53.000Z,,24014,
f363464d-a4da-4bbd-84cf-f718d15d8260,"KC Event 11: Series Saver Unlimited Re-Entries",SYNCED,2026-01-25T22:14:57.408Z,2026-01-24T12:22:43.000Z,,35246,
85c5cda5-e5d9-44c4-a035-0f8cd61ca6e9,"Tuesday Highroller Poker @ Churchills Sports Bar 5 times a week!",SYNCED,2026-01-28T01:32:43.667Z,2026-01-27T14:36:03.000Z,,27355,
665f6ef9-842d-4c8c-9170-43a0008a5d6b,"CNY Lunar Series Mega satty (ME+Opening) - 4 packages GTD",SYNCED,2026-01-26T20:00:50.758Z,2026-01-26T12:14:36.000Z,,20916,
06c7cd9c-036a-4aee-8526-d7ccbc6a8810,"Wenty's Wednesday $10k GTD",SYNCED,2026-01-28T20:15:52.168Z,2026-01-28T14:29:34.000Z,,25154,
1584992c-29b6-4605-bb8b-175a21998c88,"CNY Lunar Series Mega satty (ME+Players) - 4 packages GTD",SYNCED,2026-01-23T20:00:36.831Z,2026-01-23T12:15:47.000Z,,16877,
c33d572d-56d5-442c-a7b3-2e53df5249d2,"KC @ Churchills Event 10: MAIN EVENT Flight 1D",SYNCED,2026-01-28T01:33:37.256Z,2026-01-23T14:18:09.000Z,,29851,
f5ce6e9c-8b1b-46e4-94cb-29501b953512,"KC @ Churchills Event 10: MAIN EVENT - Day 2 Time banks replenish: 72, 45, 18, 9",SYNCED,2026-01-25T22:14:01.945Z,2026-01-24T06:47:24.000Z,,35486,
