gameStatus,gameProfit,flightLetter,prizepoolAddedValue,hasGuarantee,rake,seriesName,seriesWasAutoCreated,prizepoolPlayerContributions,tournamentId,totalEntries,gameType,tournamentType,__typename,venueFee,totalDuration,guaranteeAmount,entityId,seriesAssignmentConfidence,startingStack,gameFrequency,isSeries,entityGameTypeKey,totalInitialEntries,buyIn,isMainEvent,tournamentSeriesId,gameStartDateTime,venueAssignmentConfidence,dayNumber,gameEndDateTime,seriesAssignmentStatus,venueAssignmentStatus,averagePlayerStack,requiresVenueAssignment,suggestedVenueName,prizepoolPaid,gameVariant,totalUniquePlayers,totalAddons,isRegular,name,gameDayOfWeek,_version,venueGameTypeKey,venueId,prizepoolCalculated,wasEdited,prizepoolSurplus,id,playersRemaining,entityQueryKey,isSatellite,guaranteeOverlayCost,rakeRevenue,totalChipsInPlay,totalRebuys,finalDay,totalBuyInsCollected,updatedAt,venueScheduleKey,seriesCategory,eventNumber,gameTags,buyInBucket,sourceUrl,registrationStatus,fullRakeRealized,consolidationType,missingFlightCount,rakeSubsidy,consolidationKey,projectedRakeRevenue,isPartialData,parentGameId,suggestedSeriesName,seriesTitleId
FINISHED,418,,0,FALSE,22,,FALSE,1482,193,19,TOURNAMENT,REBUY,Game,400,Total Time,0,42101695-1332-48e3-963b-3c6ad4e909a0,0,30000,WEEKLY,FALSE,42101695-1332-48e3-963b-3c6ad4e909a0#REGULAR#MONDAY#NLHE#0051-0100,19,100,FALSE,,2023-11-27T18:30:00.000Z,1,,,NOT_SERIES,MANUALLY_ASSIGNED,,FALSE,,1700,NLHE,15,0,TRUE,"$2,000 GTD Monday's at Kings Room Monday Weekly $100 rebuy until 9:10pm",MONDAY,1,fd4f7fb1-67fd-4398-b4b4-d85722256d45#REGULAR#MONDAY#NLHE,fd4f7fb1-67fd-4398-b4b4-d85722256d45,1482,FALSE,,26c4af3e-5e4a-4be9-9e12-b4ba56abf092,,42101695-1332-48e3-963b-3c6ad4e909a0#MONDAY#NLHE#0051-0100,FALSE,0,418,,4,FALSE,1900,2025-12-10T20:17:39.314Z,fd4f7fb1-67fd-4398-b4b4-d85722256d45#MONDAY#NLHE,,,"[""Re-Entry""]",0051-0100,https://kingsroom.com.au/tournament/?id=193,CLOSED,,,,,,,,,,
FINISHED,836,,0,FALSE,22,,FALSE,2964,118,38,TOURNAMENT,REBUY,Game,400,Total Time,0,42101695-1332-48e3-963b-3c6ad4e909a0,0,30000,WEEKLY,FALSE,42101695-1332-48e3-963b-3c6ad4e909a0#REGULAR#MONDAY#NLHE#0051-0100,38,100,FALSE,,2023-06-19T18:30:00.000Z,1,,,NOT_SERIES,MANUALLY_ASSIGNED,,FALSE,,2600,NLHE,26,0,TRUE,"$2,000 GTD Monday's at Kings Room Monday Weekly $100 rebuy until 9:10pm",MONDAY,1,fd4f7fb1-67fd-4398-b4b4-d85722256d45#REGULAR#MONDAY#NLHE,fd4f7fb1-67fd-4398-b4b4-d85722256d45,2964,FALSE,,30e5c8c0-0461-4903-8976-b06b87685ed7,,42101695-1332-48e3-963b-3c6ad4e909a0#MONDAY#NLHE#0051-0100,FALSE,0,836,,12,FALSE,3800,2025-12-10T19:32:44.022Z,fd4f7fb1-67fd-4398-b4b4-d85722256d45#MONDAY#NLHE,,,"[""Re-Entry""]",0051-0100,https://kingsroom.com.au/tournament/?id=118,CLOSED,,,,,,,,,,
FINISHED,520,,0,FALSE,20,,FALSE,2080,105,26,TOURNAMENT,REBUY,Game,400,Total Time,0,42101695-1332-48e3-963b-3c6ad4e909a0,0,30000,WEEKLY,FALSE,42101695-1332-48e3-963b-3c6ad4e909a0#REGULAR#MONDAY#NLHE#0051-0100,26,100,FALSE,,2023-05-29T18:30:00.000Z,1,,,NOT_SERIES,MANUALLY_ASSIGNED,,FALSE,,1880,NLHE,17,0,TRUE,"$2,000 GTD Monday's at Kings Room Monday Weekly $100 rebuy until 9:10pm",MONDAY,1,fd4f7fb1-67fd-4398-b4b4-d85722256d45#REGULAR#MONDAY#NLHE,fd4f7fb1-67fd-4398-b4b4-d85722256d45,2080,FALSE,,4b2ebb67-5994-47f5-b5dd-ec4318bcb4bd,,42101695-1332-48e3-963b-3c6ad4e909a0#MONDAY#NLHE#0051-0100,FALSE,0,520,,9,FALSE,2600,2025-12-10T19:31:22.163Z,fd4f7fb1-67fd-4398-b4b4-d85722256d45#MONDAY#NLHE,,,"[""Re-Entry""]",0051-0100,https://kingsroom.com.au/tournament/?id=105,CLOSED,,,,,,,,,,
FINISHED,814,,0,FALSE,22,,FALSE,2886,187,37,TOURNAMENT,REBUY,Game,400,Total Time,0,42101695-1332-48e3-963b-3c6ad4e909a0,0,30000,WEEKLY,FALSE,42101695-1332-48e3-963b-3c6ad4e909a0#REGULAR#MONDAY#NLHE#0051-0100,37,100,FALSE,,2023-08-21T18:30:00.000Z,1,,,NOT_SERIES,MANUALLY_ASSIGNED,,FALSE,,2590,NLHE,25,0,TRUE,"$2,000 GTD Monday's at Kings Room Monday Weekly $100 rebuy until 9:10pm",MONDAY,1,fd4f7fb1-67fd-4398-b4b4-d85722256d45#REGULAR#MONDAY#NLHE,fd4f7fb1-67fd-4398-b4b4-d85722256d45,2886,FALSE,,e51e1e21-8efc-48a0-addd-c0dc2862fa7a,,42101695-1332-48e3-963b-3c6ad4e909a0#MONDAY#NLHE#0051-0100,FALSE,0,814,,12,FALSE,3700,2025-12-10T20:17:05.294Z,fd4f7fb1-67fd-4398-b4b4-d85722256d45#MONDAY#NLHE,,,"[""Re-Entry""]",0051-0100,https://kingsroom.com.au/tournament/?id=187,CLOSED,,,,,,,,,,
FINISHED,560,,0,FALSE,22.4,,FALSE,2440,444,25,TOURNAMENT,REBUY,Game,400,Total Time,0,42101695-1332-48e3-963b-3c6ad4e909a0,0,30000,WEEKLY,FALSE,42101695-1332-48e3-963b-3c6ad4e909a0#REGULAR#MONDAY#NLHE#0101-0200,25,120,FALSE,,2024-03-18T18:30:00.000Z,1,,,NOT_SERIES,MANUALLY_ASSIGNED,,FALSE,,2200,NLHE,19,0,TRUE,"$2,500 GTD Monday Bankroll Builder Monday Weekly $120 rebuy until 9:40pm",MONDAY,1,fd4f7fb1-67fd-4398-b4b4-d85722256d45#REGULAR#MONDAY#NLHE,fd4f7fb1-67fd-4398-b4b4-d85722256d45,2440,FALSE,,e0df5b2f-3255-4d27-9925-11331227c872,,42101695-1332-48e3-963b-3c6ad4e909a0#MONDAY#NLHE#0101-0200,FALSE,0,560,,6,FALSE,3000,2025-12-10T20:40:17.977Z,fd4f7fb1-67fd-4398-b4b4-d85722256d45#MONDAY#NLHE,,,"[""Re-Entry""]",0101-0200,https://kingsroom.com.au/tournament/?id=444,CLOSED,,,,,,,,,,
FINISHED,851.2,,0,FALSE,22.4,,FALSE,3708.8,385,38,TOURNAMENT,REBUY,Game,400,Total Time,0,42101695-1332-48e3-963b-3c6ad4e909a0,0,30000,WEEKLY,FALSE,42101695-1332-48e3-963b-3c6ad4e909a0#REGULAR#MONDAY#NLHE#0101-0200,38,120,FALSE,,2024-03-04T18:30:00.000Z,1,,,NOT_SERIES,MANUALLY_ASSIGNED,,FALSE,,3410,NLHE,23,0,TRUE,"$2,500 GTD Monday Bankroll Builder Monday Weekly $120 rebuy until 9:40pm",MONDAY,1,fd4f7fb1-67fd-4398-b4b4-d85722256d45#REGULAR#MONDAY#NLHE,fd4f7fb1-67fd-4398-b4b4-d85722256d45,3708.8,FALSE,,6b4dcb0f-06ae-4d41-a750-b8087f263d92,,42101695-1332-48e3-963b-3c6ad4e909a0#MONDAY#NLHE#0101-0200,FALSE,0,851.2,,15,FALSE,4560,2025-12-10T20:35:19.218Z,fd4f7fb1-67fd-4398-b4b4-d85722256d45#MONDAY#NLHE,,,"[""Re-Entry""]",0101-0200,https://kingsroom.com.au/tournament/?id=385,CLOSED,,,,,,,,,,
FINISHED,515.2,,0,FALSE,22.4,,FALSE,2244.8,345,23,TOURNAMENT,REBUY,Game,400,Total Time,0,42101695-1332-48e3-963b-3c6ad4e909a0,0,30000,WEEKLY,FALSE,42101695-1332-48e3-963b-3c6ad4e909a0#REGULAR#MONDAY#NLHE#0101-0200,23,120,FALSE,,2024-01-08T18:30:00.000Z,1,,,NOT_SERIES,MANUALLY_ASSIGNED,,FALSE,,2200,NLHE,16,0,TRUE,"$2,500 GTD Monday Bankroll Builder Monday Weekly $120 rebuy until 9:40pm",MONDAY,1,fd4f7fb1-67fd-4398-b4b4-d85722256d45#REGULAR#MONDAY#NLHE,fd4f7fb1-67fd-4398-b4b4-d85722256d45,2244.8,FALSE,,1b474cf2-44a5-4f94-b8fa-14f8d0430ec1,,42101695-1332-48e3-963b-3c6ad4e909a0#MONDAY#NLHE#0101-0200,FALSE,0,515.2,,7,FALSE,2760,2025-12-10T20:31:38.480Z,fd4f7fb1-67fd-4398-b4b4-d85722256d45#MONDAY#NLHE,,,"[""Re-Entry""]",0101-0200,https://kingsroom.com.au/tournament/?id=345,CLOSED,,,,,,,,,,
FINISHED,537.6,,0,FALSE,22.4,,FALSE,2342.4,447,24,TOURNAMENT,REBUY,Game,400,Total Time,0,42101695-1332-48e3-963b-3c6ad4e909a0,0,30000,WEEKLY,FALSE,42101695-1332-48e3-963b-3c6ad4e909a0#REGULAR#MONDAY#NLHE#0101-0200,24,120,FALSE,,2024-03-25T18:30:00.000Z,1,,,NOT_SERIES,MANUALLY_ASSIGNED,,FALSE,,2200,NLHE,18,0,TRUE,"$2,500 GTD Monday Bankroll Builder Monday Weekly $120 rebuy until 9:40pm",MONDAY,1,fd4f7fb1-67fd-4398-b4b4-d85722256d45#REGULAR#MONDAY#NLHE,fd4f7fb1-67fd-4398-b4b4-d85722256d45,2342.4,FALSE,,7100c5b7-58bd-415a-a2d5-9983a06fe3cb,,42101695-1332-48e3-963b-3c6ad4e909a0#MONDAY#NLHE#0101-0200,FALSE,0,537.6,,6,FALSE,2880,2025-12-10T20:40:34.877Z,fd4f7fb1-67fd-4398-b4b4-d85722256d45#MONDAY#NLHE,,,"[""Re-Entry""]",0101-0200,https://kingsroom.com.au/tournament/?id=447,CLOSED,,,,,,,,,,
FINISHED,694.4,,0,FALSE,22.4,,FALSE,3025.6,353,31,TOURNAMENT,REBUY,Game,400,Total Time,0,42101695-1332-48e3-963b-3c6ad4e909a0,0,30000,WEEKLY,FALSE,42101695-1332-48e3-963b-3c6ad4e909a0#REGULAR#MONDAY#NLHE#0101-0200,31,120,FALSE,,2024-01-15T18:30:00.000Z,1,,,NOT_SERIES,MANUALLY_ASSIGNED,,FALSE,,2725,NLHE,25,0,TRUE,"$2,500 GTD Monday Bankroll Builder Monday Weekly $120 rebuy until 9:40pm",MONDAY,1,fd4f7fb1-67fd-4398-b4b4-d85722256d45#REGULAR#MONDAY#NLHE,fd4f7fb1-67fd-4398-b4b4-d85722256d45,3025.6,FALSE,,1ee862be-d1fb-4422-9106-f7b0fb5f0211,,42101695-1332-48e3-963b-3c6ad4e909a0#MONDAY#NLHE#0101-0200,FALSE,0,694.4,,6,FALSE,3720,2025-12-10T20:32:21.559Z,fd4f7fb1-67fd-4398-b4b4-d85722256d45#MONDAY#NLHE,,,"[""Re-Entry""]",0101-0200,https://kingsroom.com.au/tournament/?id=353,CLOSED,,,,,,,,,,
FINISHED,672,,0,TRUE,22.4,,FALSE,2928,342,30,TOURNAMENT,REBUY,Game,400,Total Time,2500,42101695-1332-48e3-963b-3c6ad4e909a0,0,30000,WEEKLY,FALSE,42101695-1332-48e3-963b-3c6ad4e909a0#REGULAR#MONDAY#NLHE#0101-0200,30,120,FALSE,,2023-12-18T18:30:00.000Z,1,,,NOT_SERIES,MANUALLY_ASSIGNED,,FALSE,,2630,NLHE,23,0,TRUE,"$2,500 GTD Monday Bankroll Builder Monday Weekly $120 rebuy until 9:40pm",MONDAY,1,fd4f7fb1-67fd-4398-b4b4-d85722256d45#REGULAR#MONDAY#NLHE,fd4f7fb1-67fd-4398-b4b4-d85722256d45,2928,FALSE,428,2ff74be5-00b0-4f7b-8ce8-d3ac487bfee6,,42101695-1332-48e3-963b-3c6ad4e909a0#MONDAY#NLHE#0101-0200,FALSE,0,672,,7,FALSE,3600,2025-12-11T05:53:42.942Z,fd4f7fb1-67fd-4398-b4b4-d85722256d45#MONDAY#NLHE,,,"[""Re-Entry""]",0101-0200,https://kingsroom.com.au/tournament/?id=342,CLOSED,,,,,,,,,,
